run_id,filename,speaker,label,dataset,channel,duration_s,sample_rate,vad_status,speech_s,score,checkpoint,frozen_commit,notes
transplant,alia_bonafide,ifd_alia,genuine,ifd,broadcast,5.000000,16000,PASS,3.200000,0.461596,Best_LA_model_for_DF.pth,d626bc1144dc0cf181741793997a9af349209137,"path A, alia bonafide"
transplant,alia_deepfake,ifd_alia,spoof,ifd,broadcast,5.888000,16000,PASS,3.420000,0.999488,Best_LA_model_for_DF.pth,d626bc1144dc0cf181741793997a9af349209137,"path A, alia deepfake"
transplant,cb_bonafide,ifd_cb,genuine,ifd,broadcast,6.528000,16000,PASS,3.880000,0.962188,Best_LA_model_for_DF.pth,d626bc1144dc0cf181741793997a9af349209137,"path A, cb bonafide"
transplant,cb_deepfake,ifd_cb,spoof,ifd,broadcast,5.237375,16000,PASS,3.200000,0.999526,Best_LA_model_for_DF.pth,d626bc1144dc0cf181741793997a9af349209137,"path A, cb deepfake"
transplant,madhavan_bonafide,ifd_madhavan,genuine,ifd,broadcast,5.000000,16000,PASS,3.560000,0.999270,Best_LA_model_for_DF.pth,d626bc1144dc0cf181741793997a9af349209137,"path A, madhavan bonafide"
transplant,madhavan_deepfake,ifd_madhavan,spoof,ifd,broadcast,7.658688,16000,PASS,3.840000,0.999464,Best_LA_model_for_DF.pth,d626bc1144dc0cf181741793997a9af349209137,"path A, madhavan deepfake"
transplant,pc_bonafide,ifd_pc,genuine,ifd,broadcast,5.100000,16000,PASS,3.140000,0.029010,Best_LA_model_for_DF.pth,d626bc1144dc0cf181741793997a9af349209137,"path A, pc bonafide"
transplant,pc_deepfake,ifd_pc,spoof,ifd,broadcast,5.056000,16000,PASS,2.020000,0.848733,Best_LA_model_for_DF.pth,d626bc1144dc0cf181741793997a9af349209137,"path A, pc deepfake"
transplant,sadhguru_bonafide,ifd_sadhguru,genuine,ifd,broadcast,5.472000,16000,PASS,4.140000,0.004560,Best_LA_model_for_DF.pth,d626bc1144dc0cf181741793997a9af349209137,"path A, sadhguru bonafide"
transplant,sadhguru_deepfake,ifd_sadhguru,spoof,ifd,broadcast,6.026688,16000,PASS,2.040000,0.127860,Best_LA_model_for_DF.pth,d626bc1144dc0cf181741793997a9af349209137,"path A, sadhguru deepfake"
