run_id,filename,speaker,label,dataset,channel,duration_s,sample_rate,vad_status,speech_s,score,checkpoint,frozen_commit,notes
transplant,alia_bonafide,ifd_alia,genuine,ifd,broadcast,5.000000,16000,PASS,3.200000,0.461596,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path A, alia bonafide"
transplant,alia_bonafide_exotel,ifd_alia,genuine,ifd,phone_g711_sim,5.000000,16000,PASS,3.100000,0.999402,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path C, alia bonafide; SIMULATED G.711 mu-law from path B, not a real call; speaker_volume=80%, system slider, unchanged across all ten clips; phone_model=Samsung S23; distance_cm=5; room=unrecorded at capture time; background_noise=unrecorded at capture time; measured from the take: noise floor -56.6 dBFS, speech -10.6 dBFS, SNR 46.1 dB, peak 0.0 dBFS, 0.001% of samples clipped"
transplant,alia_bonafide_phone,ifd_alia,genuine,ifd,phone,5.000000,16000,PASS,3.100000,0.999418,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path B, alia bonafide; speaker_volume=80%, system slider, unchanged across all ten clips; phone_model=Samsung S23; distance_cm=5; room=unrecorded at capture time; background_noise=unrecorded at capture time; measured from the take: noise floor -56.6 dBFS, speech -10.6 dBFS, SNR 46.1 dB, peak 0.0 dBFS, 0.001% of samples clipped"
transplant,alia_deepfake,ifd_alia,spoof,ifd,broadcast,5.888000,16000,PASS,3.420000,0.999488,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path A, alia deepfake"
transplant,alia_deepfake_exotel,ifd_alia,spoof,ifd,phone_g711_sim,5.888000,16000,PASS,3.040000,0.999533,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path C, alia deepfake; SIMULATED G.711 mu-law from path B, not a real call; speaker_volume=80%, system slider, unchanged across all ten clips; phone_model=Samsung S23; distance_cm=5; room=unrecorded at capture time; background_noise=unrecorded at capture time; measured from the take: noise floor -56.6 dBFS, speech -10.6 dBFS, SNR 46.1 dB, peak 0.0 dBFS, 0.001% of samples clipped"
transplant,alia_deepfake_phone,ifd_alia,spoof,ifd,phone,5.888000,16000,PASS,3.040000,0.999540,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path B, alia deepfake; speaker_volume=80%, system slider, unchanged across all ten clips; phone_model=Samsung S23; distance_cm=5; room=unrecorded at capture time; background_noise=unrecorded at capture time; measured from the take: noise floor -56.6 dBFS, speech -10.6 dBFS, SNR 46.1 dB, peak 0.0 dBFS, 0.001% of samples clipped"
transplant,cb_bonafide,ifd_cb,genuine,ifd,broadcast,6.528000,16000,PASS,3.880000,0.962188,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path A, cb bonafide"
transplant,cb_bonafide_exotel,ifd_cb,genuine,ifd,phone_g711_sim,6.528000,16000,PASS,3.740000,0.997847,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path C, cb bonafide; SIMULATED G.711 mu-law from path B, not a real call; speaker_volume=80%, system slider, unchanged across all ten clips; phone_model=Samsung S23; distance_cm=5; room=unrecorded at capture time; background_noise=unrecorded at capture time; measured from the take: noise floor -56.6 dBFS, speech -10.6 dBFS, SNR 46.1 dB, peak 0.0 dBFS, 0.001% of samples clipped"
transplant,cb_bonafide_phone,ifd_cb,genuine,ifd,phone,6.528000,16000,PASS,3.740000,0.967582,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path B, cb bonafide; speaker_volume=80%, system slider, unchanged across all ten clips; phone_model=Samsung S23; distance_cm=5; room=unrecorded at capture time; background_noise=unrecorded at capture time; measured from the take: noise floor -56.6 dBFS, speech -10.6 dBFS, SNR 46.1 dB, peak 0.0 dBFS, 0.001% of samples clipped"
transplant,cb_deepfake,ifd_cb,spoof,ifd,broadcast,5.237375,16000,PASS,3.200000,0.999526,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path A, cb deepfake"
